FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,R0,G1
65,161.996032,4,67790088.0896,0.0207495119259825,0.00392156862745098
66,162.058528,1,67790150.592,0.0207537560478737,0.00392156862745098
67,162.121024,2,67790213.1328,0.0207473898650369,0.00392156862745098
68,162.18352,4,67790275.648,0.0207219251336898,0.00392307692307692
69,162.246048,1,67790338.112,0.0207176810117987,0.00392307692307692
70,162.308544,2,67790400.6272,0.0207410236822002,0.00392307692307692
71,162.37104,4,67790463.2576,0.0209235209235209,0.00392458521870287
72,162.433536,1,67790525.5936,0.0207346574993634,0.00392156862745098
73,162.496032,2,67790588.288,0.0207389016212546,0.00392307692307692
74,162.558528,4,67790650.6496,0.0207898310839487,0.00392156862745098
75,162.621024,1,67790713.1776,0.0207961972667855,0.00392307692307692
76,162.683552,2,67790775.6928,0.0207516339869281,0.00392307692307692
77,162.746048,4,67790838.1696,0.0206964604023428,0.00392458521870287
78,162.808544,1,67790900.7104,0.020808929632459,0.00392156862745098
79,162.87104,2,67790963.1616,0.0207304133774722,0.00392156862745098
80,162.933536,4,67791025.7024,0.0208025634496223,0.00392307692307692
81,162.996032,1,67791088.2048,0.0208365164247517,0.00392307692307692
82,163.058528,2,67791150.72,0.020736779560309,0.00392156862745098
83,163.121024,4,67791213.2224,0.0207664884135472,0.00392156862745098
84,163.183552,1,67791275.7248,0.0207473898650369,0.00392307692307692
85,163.246048,2,67791338.2016,0.0207940752058399,0.00392307692307692
86,163.308544,4,67791400.7424,0.0207516339869281,0.00392307692307692
87,163.37104,1,67791463.232,0.0208280281809694,0.00392307692307692
88,163.433536,2,67791525.7472,0.0207282913165266,0.00392307692307692
89,163.496032,4,67791588.3136,0.0208110516934046,0.00392156862745098
90,163.558528,1,67791650.7392,0.0207770987182752,0.00392156862745098
91,163.621024,2,67791713.2416,0.0207580001697649,0.00392458521870287
92,163.683552,4,67791775.7696,0.0208174178762414,0.00392307692307692
93,163.746048,1,67791838.2592,0.0206837280366692,0.00392156862745098
94,163.808544,2,67791901.1456,0.0207643663526016,0.00392307692307692
95,163.87104,4,67791963.2768,0.0207664884135472,0.00392307692307692
96,163.933536,1,67792025.8304,0.0207749766573296,0.00392156862745098
97,163.996032,2,67792088.2816,0.020783464901112,0.00392307692307692
98,164.058528,4,67792150.8096,0.0207516339869281,0.00392458521870287
