Cameraframes.Value,Cameraframes.Timestamp,Quinine_video,Airpuff_video,Sucrose_video,Quinine_stim
286,2025-08-14T22:10:02.3285760+01:00,0,0,0,0
287,2025-08-14T22:10:02.3427328+01:00,0,0,0,0
288,2025-08-14T22:10:02.3578624+01:00,0,0,0,0
289,2025-08-14T22:10:02.3727872+01:00,0,0,0,0
290,2025-08-14T22:10:02.3883776+01:00,0,0,0,0
291,2025-08-14T22:10:02.4029056+01:00,0,0,0,0
292,2025-08-14T22:10:02.4179200+01:00,0,0,0,0
293,2025-08-14T22:10:02.4330112+01:00,0,0,0,0
294,2025-08-14T22:10:02.4486016+01:00,0,0,0,0
295,2025-08-14T22:10:02.4630400+01:00,0,0,0,0
296,2025-08-14T22:10:02.4780672+01:00,0,0,0,0
297,2025-08-14T22:10:02.4935808+01:00,0,0,0,0
298,2025-08-14T22:10:02.5081856+01:00,0,0,0,0
299,2025-08-14T22:10:02.5235968+01:00,0,0,0,0
300,2025-08-14T22:10:02.5383040+01:00,0,0,0,0
301,2025-08-14T22:10:02.5533184+01:00,0,0,0,0
302,2025-08-14T22:10:02.5684224+01:00,0,0,0,0
303,2025-08-14T22:10:02.5834496+01:00,0,0,0,0
304,2025-08-14T22:10:02.5990016+01:00,0,0,0,0
305,2025-08-14T22:10:02.6134400+01:00,0,0,0,0
306,2025-08-14T22:10:02.6285184+01:00,0,0,0,0
307,2025-08-14T22:10:02.6435968+01:00,0,0,0,0
308,2025-08-14T22:10:02.6597248+01:00,0,0,0,0
309,2025-08-14T22:10:02.6736384+01:00,0,0,0,0
310,2025-08-14T22:10:02.6886784+01:00,0,0,0,0
311,2025-08-14T22:10:02.7042048+01:00,0,0,0,0
312,2025-08-14T22:10:02.7188480+01:00,0,0,0,0
313,2025-08-14T22:10:02.7347328+01:00,0,0,0,0
314,2025-08-14T22:10:02.7488512+01:00,0,0,0,0
315,2025-08-14T22:10:02.7638656+01:00,0,0,0,0
316,2025-08-14T22:10:02.7788800+01:00,0,0,0,0
317,2025-08-14T22:10:02.7941376+01:00,0,0,0,0
318,2025-08-14T22:10:02.8089984+01:00,0,0,0,0
319,2025-08-14T22:10:02.8240384+01:00,0,0,0,0
320,2025-08-14T22:10:02.8391040+01:00,0,0,0,0
321,2025-08-14T22:10:02.8548480+01:00,0,0,0,0
322,2025-08-14T22:10:02.8691584+01:00,0,0,0,0
323,2025-08-14T22:10:02.8842368+01:00,0,0,0,0
324,2025-08-14T22:10:02.8992640+01:00,0,0,0,0
325,2025-08-14T22:10:02.9149184+01:00,0,0,0,0
326,2025-08-14T22:10:02.9293312+01:00,0,0,0,0
327,2025-08-14T22:10:02.9443712+01:00,0,0,0,0
328,2025-08-14T22:10:02.9598976+01:00,0,0,0,0
329,2025-08-14T22:10:02.9744512+01:00,0,0,0,0
330,2025-08-14T22:10:02.9899136+01:00,0,0,0,0
331,2025-08-14T22:10:03.0045440+01:00,0,0,0,0
332,2025-08-14T22:10:03.0195712+01:00,0,0,0,0
333,2025-08-14T22:10:03.0346624+01:00,0,0,0,0
334,2025-08-14T22:10:03.0498432+01:00,0,0,0,0
335,2025-08-14T22:10:03.0653952+01:00,0,0,0,0
336,2025-08-14T22:10:03.0797440+01:00,0,0,0,0
337,2025-08-14T22:10:03.0948352+01:00,0,0,0,0
338,2025-08-14T22:10:03.1099008+01:00,0,0,0,0
339,2025-08-14T22:10:03.1254144+01:00,0,0,0,0
